copy	count
1415	8
1416	8
1944	8
1531	8
2421	8
1943	8
1875	8
1421	8
6036	8
2555	8
1936	8
9702	8
1935	8
1431	8
1493	8
2408	8
1931	8
1440	8
1441	8
1442	8
4014	8
1485	8
1484	8
1477	8
1476	8
1474	8
5570	8
1456	8
1469	8
1916	8
2646	8
1536	8
1948	8
1870	8
1359	8
1611	8
2531	8
2535	8
1367	8
1600	8
1598	8
1370	8
1590	8
1589	8
1967	8
1965	8
1384	8
1388	8
1851	8
1572	8
1569	8
1392	8
1864	8
1865	8
1557	8
1866	8
1551	8
1869	8
1550	8
1403	8
1547	8
1544	8
1542	8
1313	8
1737	8
2370	8
2224	8
3452	8
2159	8
2045	8
1210	8
2749	8
1005	8
2229	8
6162	8
1258	8
2098	8
1262	8
1264	8
2951	8
1148	8
3142	8
1251	8
2275	8
2187	8
1246	8
1234	8
2116	8
2344	8
1239	8
956	8
2781	8
4180	8
2060	8
1204	8
1242	8
2347	8
1129	8
3481	8
1243	8
1245	8
1035	8
1038	8
2024	8
3037	8
1069	8
1292	8
2888	8
2053	8
2912	8
50448	8
11079	8
1297	8
3165	8
1287	8
1067	8
1072	8
2271	8
2147	8
1219	8
2915	8
2292	8
1031	8
3036	8
2094	8
2022	8
9395	8
2193	8
2013	8
3472	8
2201	8
1301	8
2866	8
1220	8
1022	8
2485	7
1573	7
2120	7
5217	7
1658	7
1486	7
1655	7
2569	7
1483	7
2242	7
3187	7
4095	7
5121	7
2086	7
1926	7
2369	7
2366	7
1453	7
2927	7
863	7
2270	7
1787	7
1460	7
1820	7
2167	7
2953	7
3389	7
2309	7
2103	7
1663	7
2992	7
2359	7
2314	7
4300	7
2113	7
1797	7
3384	7
4400	7
1570	7
1633	7
1630	7
1629	7
1532	7
2332	7
2320	7
2333	7
1537	7
5632	7
1006	7
1858	7
1626	7
2143	7
1546	7
3159	7
3158	7
1549	7
1065	7
4069	7
4185	7
22043	7
2149	7
1819	7
6246	7
1558	7
2154	7
1560	7
1561	7
1816	7
1874	7
2287	7
1635	7
1648	7
1894	7
1497	7
1808	7
1501	7
1646	7
2352	7
2319	7
1504	7
2536	7
3058	7
1643	7
2903	7
2288	7
2523	7
1813	7
3065	7
1814	7
3168	7
2343	7
1519	7
2463	7
1521	7
1637	7
1636	7
3097	7
1876	7
1445	7
2214	7
2489	7
1362	7
3414	7
2033	7
1986	7
2226	7
1980	7
945	7
2385	7
2034	7
1717	7
2181	7
3502	7
1360	7
4459	7
1971	7
1834	7
951	7
1748	7
3436	7
1599	7
5461	7
1711	7
6138	7
1968	7
5471	7
2673	7
3483	7
8789	7
2780	7
1342	7
2029	7
1780	7
4430	7
2727	7
1298	7
1296	7
1739	7
1311	7
5024	7
1291	7
4408	7
2019	7
1286	7
1741	7
1733	7
4718	7
1742	7
3437	7
1744	7
1327	7
1831	7
3505	7
3433	7
1279	7
2738	7
2404	7
1726	7
1272	7
1337	7
1338	7
1999	7
1754	7
2539	7
1756	7
1194	7
1690	7
2818	7
2300	7
1947	7
102712	7
1045	7
2064	7
2833	7
1178	7
1687	7
2644	7
4224	7
1429	7
1621	7
1172	7
2368	7
1169	7
3752	7
1777	7
979	7
2208	7
1582	7
1933	7
1929	7
1617	7
1779	7
5536	7
1380	7
4018	7
2220	7
2473	7
1385	7
2222	7
1383	7
1215	7
2051	7
1212	7
960	7
2812	7
1393	7
2221	7
4164	7
1955	7
1400	7
1613	7
1950	7
5497	7
1041	7
5476	7
1949	7
1407	7
1692	7
2648	7
1703	7
2184	6
2293	6
1821	6
1824	6
3363	6
3604	6
3675	6
1825	6
1826	6
1782	6
3769	6
2508	6
1775	6
1773	6
1768	6
2260	6
2219	6
2259	6
3395	6
2253	6
2225	6
2262	6
2250	6
7502	6
3413	6
3426	6
2492	6
2244	6
2238	6
2243	6
3391	6
2519	6
1817	6
2285	6
3569	6
2290	6
3371	6
2198	6
3379	6
2483	6
1801	6
1800	6
2274	6
3448	6
1796	6
1794	6
2203	6
1793	6
2486	6
2205	6
1778	6
2264	6
6283	6
2395	6
3280	6
2794	6
2825	6
2065	6
2814	6
2649	6
2063	6
2806	6
2059	6
2443	6
3694	6
2655	6
2054	6
2785	6
2413	6
1958	6
2835	6
6464	6
2853	6
2860	6
2073	6
3527	6
2619	6
2078	6
2878	6
3755	6
2087	6
2891	6
1928	6
1927	6
2596	6
2591	6
2361	6
2046	6
1959	6
1960	6
2743	6
2718	6
6829	6
2018	6
2009	6
2007	6
2006	6
2004	6
2392	6
2021	6
2402	6
2023	6
1997	6
2386	6
1988	6
2755	6
